timestamp,file,state,basename,date,time,datetime,device_id,device_path,audio_path,duration
20230906230601,/home/phablet/Documents/pam_output/recording_20230906230501.flac,success,recording_20230906230501.flac,20230906,230501,2023-09-06 23:05:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906230501.flac,59.84
20230906231101,/home/phablet/Documents/pam_output/recording_20230906231001.flac,success,recording_20230906231001.flac,20230906,231001,2023-09-06 23:10:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906231001.flac,59.81868480725623
20230906231602,/home/phablet/Documents/pam_output/recording_20230906231501.flac,success,recording_20230906231501.flac,20230906,231501,2023-09-06 23:15:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906231501.flac,59.84
20230906232101,/home/phablet/Documents/pam_output/recording_20230906232001.flac,success,recording_20230906232001.flac,20230906,232001,2023-09-06 23:20:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906232001.flac,59.84
20230906232601,/home/phablet/Documents/pam_output/recording_20230906232501.flac,success,recording_20230906232501.flac,20230906,232501,2023-09-06 23:25:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906232501.flac,59.84
20230906233101,/home/phablet/Documents/pam_output/recording_20230906233001.flac,success,recording_20230906233001.flac,20230906,233001,2023-09-06 23:30:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906233001.flac,59.84
20230906233601,/home/phablet/Documents/pam_output/recording_20230906233501.flac,success,recording_20230906233501.flac,20230906,233501,2023-09-06 23:35:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906233501.flac,59.84
20230906234102,/home/phablet/Documents/pam_output/recording_20230906234002.flac,success,recording_20230906234002.flac,20230906,234002,2023-09-06 23:40:02,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906234002.flac,59.84
20230906234601,/home/phablet/Documents/pam_output/recording_20230906234501.flac,success,recording_20230906234501.flac,20230906,234501,2023-09-06 23:45:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906234501.flac,59.84
20230906235101,/home/phablet/Documents/pam_output/recording_20230906235001.flac,success,recording_20230906235001.flac,20230906,235001,2023-09-06 23:50:01,SamsungS7,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7/,/media/alvaro/BladeHDD/Bioacoustics_BigData/Monteverde_Ubuntutouch/Experimentos/Segundo/SamsungS7//pam_output/recording_20230906235001.flac,59.861337868480724
